Date,Close
10/17/2016 16:00:00,49.35
10/18/2016 16:00:00,49.23
10/19/2016 16:00:00,49.34
10/20/2016 16:00:00,48.5
10/21/2016 16:00:00,47.75
10/24/2016 16:00:00,46.75
10/25/2016 16:00:00,44.35
10/26/2016 16:00:00,45.5
10/27/2016 16:00:00,45.25
10/28/2016 16:00:00,45.98
10/31/2016 16:00:00,45.51
11/1/2016 16:00:00,45.3
11/2/2016 16:00:00,45
11/3/2016 16:00:00,44.75
11/4/2016 16:00:00,44.2
11/7/2016 16:00:00,44.6
11/8/2016 16:00:00,46.27
11/9/2016 16:00:00,44.26
11/10/2016 16:00:00,45.9
11/11/2016 16:00:00,46.58
11/14/2016 16:00:00,45.77
11/15/2016 16:00:00,47.72
11/16/2016 16:00:00,50
11/17/2016 16:00:00,53.5
11/18/2016 16:00:00,53.05
11/21/2016 16:00:00,52.97
11/22/2016 16:00:00,56.67
11/23/2016 16:00:00,55.99
11/25/2016 16:00:00,55.86
11/28/2016 16:00:00,54.34
11/29/2016 16:00:00,54.19
11/30/2016 16:00:00,53.56
12/1/2016 16:00:00,55.03
12/2/2016 16:00:00,54.24
12/5/2016 16:00:00,54.36
12/6/2016 16:00:00,55.07
12/7/2016 16:00:00,57.15
12/8/2016 16:00:00,57.15
12/9/2016 16:00:00,58.14
12/12/2016 16:00:00,57.67
12/13/2016 16:00:00,57.79
12/14/2016 16:00:00,57.33
12/15/2016 16:00:00,56.29
12/16/2016 16:00:00,54.17
12/19/2016 16:00:00,52.62
12/20/2016 16:00:00,55.29
12/21/2016 16:00:00,56.62
12/22/2016 16:00:00,57
12/23/2016 16:00:00,56.39
12/27/2016 16:00:00,57.6
12/28/2016 16:00:00,57.76
12/29/2016 16:00:00,57.87
12/30/2016 16:00:00,58.6
1/3/2017 16:00:00,57.73
1/4/2017 16:00:00,58.18
1/5/2017 16:00:00,57
1/6/2017 16:00:00,56.49
1/9/2017 16:00:00,55.88
1/10/2017 16:00:00,58.54
1/11/2017 16:00:00,61.56
1/12/2017 16:00:00,60.08
1/13/2017 16:00:00,61.42
1/17/2017 16:00:00,62.88
1/18/2017 16:00:00,64.77
1/19/2017 16:00:00,63.31
1/20/2017 16:00:00,64.19
1/23/2017 16:00:00,64.07
1/24/2017 16:00:00,65.88
1/25/2017 16:00:00,65.37
1/26/2017 16:00:00,65.55
1/27/2017 16:00:00,64.34
1/30/2017 16:00:00,64.02
1/31/2017 16:00:00,63.49
2/1/2017 16:00:00,64.14
2/2/2017 16:00:00,65.11
2/3/2017 16:00:00,63.02
2/6/2017 16:00:00,62.24
2/7/2017 16:00:00,60.16
2/8/2017 16:00:00,60.78
2/9/2017 16:00:00,61.19
2/10/2017 16:00:00,61.25
2/13/2017 16:00:00,61.14
2/14/2017 16:00:00,62.09
2/15/2017 16:00:00,63.97
2/16/2017 16:00:00,64.7
2/17/2017 16:00:00,64.01
2/21/2017 16:00:00,66.96
2/22/2017 16:00:00,67.53
2/23/2017 16:00:00,65.95
2/24/2017 16:00:00,66.48
2/27/2017 16:00:00,67.53
2/28/2017 16:00:00,67.13
3/1/2017 16:00:00,67.72
3/2/2017 16:00:00,67.25
3/3/2017 16:00:00,67.87
3/6/2017 16:00:00,67.79
3/7/2017 16:00:00,68.31
3/8/2017 16:00:00,68.96
3/9/2017 16:00:00,69.51
3/10/2017 16:00:00,70.1
3/13/2017 16:00:00,72.39
3/14/2017 16:00:00,74.16
3/15/2017 16:00:00,75.69
3/16/2017 16:00:00,73.9
3/17/2017 16:00:00,72.82
3/20/2017 16:00:00,72.1
3/21/2017 16:00:00,69.56
3/22/2017 16:00:00,70.1
3/23/2017 16:00:00,68.27
3/24/2017 16:00:00,68.52
3/27/2017 16:00:00,70.36
3/28/2017 16:00:00,72.29
3/29/2017 16:00:00,71.46
3/30/2017 16:00:00,71.51
3/31/2017 16:00:00,72.67
4/3/2017 16:00:00,70.13
4/4/2017 16:00:00,68.13
4/5/2017 16:00:00,66.55
4/6/2017 16:00:00,66.62
4/7/2017 16:00:00,66.85
4/10/2017 16:00:00,67.2
4/11/2017 16:00:00,67.51
4/12/2017 16:00:00,66.55
4/13/2017 16:00:00,67.18
4/17/2017 16:00:00,67.27
4/18/2017 16:00:00,66.16
4/19/2017 16:00:00,67.58
4/20/2017 16:00:00,69.09
4/21/2017 16:00:00,69.24
4/24/2017 16:00:00,69.68
4/25/2017 16:00:00,70.16
4/26/2017 16:00:00,70.21
4/27/2017 16:00:00,72.34
4/28/2017 16:00:00,73.56
5/1/2017 16:00:00,74.49
5/2/2017 16:00:00,68.63
5/3/2017 16:00:00,70.15
5/4/2017 16:00:00,70.06
5/5/2017 16:00:00,70.98
5/8/2017 16:00:00,70.86
5/9/2017 16:00:00,71.44
5/10/2017 16:00:00,71.46
5/11/2017 16:00:00,71.04
5/12/2017 16:00:00,71.25
5/15/2017 16:00:00,72.47
5/16/2017 16:00:00,72.57
5/17/2017 16:00:00,68.2
5/18/2017 16:00:00,68.6
5/19/2017 16:00:00,69.45
5/22/2017 16:00:00,69.49
5/23/2017 16:00:00,68.55
5/24/2017 16:00:00,68.31
5/25/2017 16:00:00,66.05
5/26/2017 16:00:00,66.64
5/30/2017 16:00:00,66.93
5/31/2017 16:00:00,68.53
6/1/2017 16:00:00,69.87
6/2/2017 16:00:00,71.01
6/5/2017 16:00:00,69.9
6/6/2017 16:00:00,68.71
6/7/2017 16:00:00,69.39
6/8/2017 16:00:00,68.36
6/9/2017 16:00:00,67.42
6/12/2017 16:00:00,66.73
6/13/2017 16:00:00,65.83
6/14/2017 16:00:00,63.94
6/15/2017 16:00:00,64.55
6/16/2017 16:00:00,61.87
6/19/2017 16:00:00,61.73
6/20/2017 16:00:00,62.35
6/21/2017 16:00:00,63.58
6/22/2017 16:00:00,64.09
6/23/2017 16:00:00,64.13
6/26/2017 16:00:00,64.83
6/27/2017 16:00:00,63.2
6/28/2017 16:00:00,64.66
6/29/2017 16:00:00,64.77
6/30/2017 16:00:00,65.38
7/3/2017 16:00:00,65.97
7/5/2017 16:00:00,66.08
7/6/2017 16:00:00,66.16
7/7/2017 16:00:00,67.65
7/10/2017 16:00:00,68.19
7/11/2017 16:00:00,68.92
7/12/2017 16:00:00,68.69
7/13/2017 16:00:00,69.45
7/14/2017 16:00:00,68.85
7/17/2017 16:00:00,69.91
7/18/2017 16:00:00,69.77
7/19/2017 16:00:00,70.23
7/20/2017 16:00:00,70.6
7/21/2017 16:00:00,68.71
7/24/2017 16:00:00,67.93
7/25/2017 16:00:00,68.25
7/26/2017 16:00:00,69.05
7/27/2017 16:00:00,66.33
7/28/2017 16:00:00,65.54
7/31/2017 16:00:00,65.47
8/1/2017 16:00:00,63.99
8/2/2017 16:00:00,64.3
8/3/2017 16:00:00,64.04
8/4/2017 16:00:00,64.91
8/7/2017 16:00:00,65.41
8/8/2017 16:00:00,65.49
8/9/2017 16:00:00,65.26
8/10/2017 16:00:00,64
8/11/2017 16:00:00,65.43
8/14/2017 16:00:00,66.37
8/15/2017 16:00:00,66.01
8/16/2017 16:00:00,66.65
8/17/2017 16:00:00,65.55
8/18/2017 16:00:00,65.97
8/21/2017 16:00:00,67.88
8/22/2017 16:00:00,69.02
8/23/2017 16:00:00,69.16
8/24/2017 16:00:00,69.02
8/25/2017 16:00:00,68.3
8/28/2017 16:00:00,68.01
8/29/2017 16:00:00,68.3
8/30/2017 16:00:00,69.66
8/31/2017 16:00:00,70.68
9/1/2017 16:00:00,72.18
9/5/2017 16:00:00,72.25
9/6/2017 16:00:00,72.56
9/7/2017 16:00:00,72.51
9/8/2017 16:00:00,72.55
9/11/2017 16:00:00,73.57
9/12/2017 16:00:00,73.86
9/13/2017 16:00:00,75.39
9/14/2017 16:00:00,76.4
9/15/2017 16:00:00,80.26
9/18/2017 16:00:00,80.26
9/19/2017 16:00:00,82.19
9/20/2017 16:00:00,82.59
9/21/2017 16:00:00,82.24
9/22/2017 16:00:00,82.95
9/25/2017 16:00:00,82.17
9/26/2017 16:00:00,85.71
9/27/2017 16:00:00,84.17
9/28/2017 16:00:00,84.1
9/29/2017 16:00:00,83.99
10/2/2017 16:00:00,84.97
10/3/2017 16:00:00,85.18
10/4/2017 16:00:00,85.07
10/5/2017 16:00:00,84.42
10/6/2017 16:00:00,84.67
10/9/2017 16:00:00,83.93
10/10/2017 16:00:00,84.21
10/11/2017 16:00:00,84.49
10/12/2017 16:00:00,84.25
10/13/2017 16:00:00,83.78
10/16/2017 16:00:00,85.07
10/17/2017 16:00:00,85.16
10/18/2017 16:00:00,85.45
10/19/2017 16:00:00,84.98
10/20/2017 16:00:00,85.1
10/23/2017 16:00:00,85
10/24/2017 16:00:00,85.93
10/25/2017 16:00:00,83.64
10/26/2017 16:00:00,83.63
10/27/2017 16:00:00,84.2
10/30/2017 16:00:00,83.5
10/31/2017 16:00:00,84.36
11/1/2017 16:00:00,84.93
11/2/2017 16:00:00,81.08
11/3/2017 16:00:00,78.7
11/6/2017 16:00:00,78.64
11/7/2017 16:00:00,78.09
11/8/2017 16:00:00,77.42
11/9/2017 16:00:00,76.95
11/10/2017 16:00:00,77.42
11/13/2017 16:00:00,76.22
11/14/2017 16:00:00,75.03
11/15/2017 16:00:00,74.27
11/16/2017 16:00:00,74.44
11/17/2017 16:00:00,76.19
11/20/2017 16:00:00,78.07
11/21/2017 16:00:00,77.86
11/22/2017 16:00:00,77.65
11/24/2017 13:00:00,77.86
11/27/2017 16:00:00,77.65
11/28/2017 16:00:00,79.66
11/29/2017 16:00:00,79.08
11/30/2017 16:00:00,78.26
12/1/2017 16:00:00,78.4
12/4/2017 16:00:00,78.1
12/5/2017 16:00:00,78.93
12/6/2017 16:00:00,78.26
12/7/2017 16:00:00,79.14
12/8/2017 16:00:00,78.88
12/11/2017 16:00:00,79.69
12/12/2017 16:00:00,80.38
12/13/2017 16:00:00,78.85
12/14/2017 16:00:00,77.84
12/15/2017 16:00:00,78.91
12/18/2017 16:00:00,80.61
12/19/2017 16:00:00,80.39
12/20/2017 16:00:00,80.91
12/21/2017 16:00:00,80.32
12/22/2017 16:00:00,79.69
12/26/2017 16:00:00,78.78
12/27/2017 16:00:00,79.02
12/28/2017 16:00:00,79.54
12/29/2017 16:00:00,78.7
1/2/2018 16:00:00,79.29
1/3/2018 16:00:00,78.48
1/4/2018 16:00:00,82.36
1/5/2018 16:00:00,83.87
1/8/2018 16:00:00,82.42
1/9/2018 16:00:00,83.04
1/10/2018 16:00:00,81.66
1/11/2018 16:00:00,83.59
1/12/2018 16:00:00,82.69
1/16/2018 16:00:00,82.18
1/17/2018 16:00:00,77.08
1/18/2018 16:00:00,74.15
1/19/2018 16:00:00,71.94
1/22/2018 16:00:00,72.74
1/23/2018 16:00:00,72.85
1/24/2018 16:00:00,73.04
1/25/2018 16:00:00,72.01
1/26/2018 16:00:00,72.3
1/29/2018 16:00:00,66.77
1/30/2018 16:00:00,66.29
1/31/2018 16:00:00,64.8
2/1/2018 16:00:00,64.7
2/2/2018 16:00:00,64.6
2/5/2018 16:00:00,61.94
2/6/2018 16:00:00,63.51
2/7/2018 16:00:00,63.34
2/8/2018 16:00:00,60.78
2/9/2018 16:00:00,60.7
2/12/2018 16:00:00,63.91
2/13/2018 16:00:00,62.45
2/14/2018 16:00:00,63.68
2/15/2018 16:00:00,63.44
2/16/2018 16:00:00,61.89
2/20/2018 16:00:00,63.66
2/21/2018 16:00:00,63.47
2/22/2018 16:00:00,63.4
2/23/2018 16:00:00,63.3
2/26/2018 16:00:00,63.9
2/27/2018 16:00:00,63.57
2/28/2018 16:00:00,62.06
3/1/2018 16:00:00,59.85
3/2/2018 16:00:00,60.73
3/5/2018 16:00:00,61.19
3/6/2018 16:00:00,62.46
3/7/2018 16:00:00,61.84
3/8/2018 16:00:00,61.95
3/9/2018 16:00:00,62.73
3/12/2018 16:00:00,61.65
3/13/2018 16:00:00,61.13
3/14/2018 16:00:00,60.3
3/15/2018 16:00:00,60.08
3/16/2018 16:00:00,59.76
3/19/2018 16:00:00,59.73
3/20/2018 16:00:00,59.28
3/21/2018 16:00:00,60.05
3/22/2018 16:00:00,59.88
3/23/2018 16:00:00,57.58
3/26/2018 16:00:00,59.38
3/27/2018 16:00:00,59.57
3/28/2018 16:00:00,58.13
3/29/2018 16:00:00,59.76
4/2/2018 16:00:00,59.19
4/3/2018 16:00:00,61.11
4/4/2018 16:00:00,62.95
4/5/2018 16:00:00,64.28
4/6/2018 16:00:00,63.92
4/9/2018 16:00:00,63.54
4/10/2018 16:00:00,64.86
4/11/2018 16:00:00,65.67
4/12/2018 16:00:00,66.19
4/13/2018 16:00:00,65.26
4/16/2018 16:00:00,66.01
4/17/2018 16:00:00,65.05
4/18/2018 16:00:00,63.1
4/19/2018 16:00:00,62.9
4/20/2018 16:00:00,62.5
4/23/2018 16:00:00,62.8
4/24/2018 16:00:00,63.12
4/25/2018 16:00:00,63.72
4/26/2018 16:00:00,62.54
4/27/2018 16:00:00,62.06
4/30/2018 16:00:00,61.29
5/1/2018 16:00:00,60.79
5/2/2018 16:00:00,61.98
5/3/2018 16:00:00,55.84
5/4/2018 16:00:00,54.99
5/7/2018 16:00:00,56.15
5/8/2018 16:00:00,56.62
5/9/2018 16:00:00,55.64
5/10/2018 16:00:00,56.13
5/11/2018 16:00:00,55.84
5/14/2018 16:00:00,55.75
5/15/2018 16:00:00,56.11
5/16/2018 16:00:00,56.56
5/17/2018 16:00:00,57.2
5/18/2018 16:00:00,56.01
5/21/2018 16:00:00,56.09
5/22/2018 16:00:00,56.24
5/23/2018 16:00:00,54.86
5/24/2018 16:00:00,54.47
5/25/2018 16:00:00,54.01
5/29/2018 16:00:00,52.94
5/30/2018 16:00:00,53.07
5/31/2018 16:00:00,53.07
6/1/2018 16:00:00,53.82
6/4/2018 16:00:00,54.38
6/5/2018 16:00:00,54.66
6/6/2018 16:00:00,56.04
6/7/2018 16:00:00,56.56
6/8/2018 16:00:00,56.98
6/11/2018 16:00:00,48.1
6/12/2018 16:00:00,50.11
6/13/2018 16:00:00,47.54
6/14/2018 16:00:00,48.07
6/15/2018 16:00:00,48.11
6/18/2018 16:00:00,48.42
6/19/2018 16:00:00,48.99
6/20/2018 16:00:00,49.72
6/21/2018 16:00:00,49.57
6/22/2018 16:00:00,50.07
6/25/2018 16:00:00,49.99
6/26/2018 16:00:00,49.85
6/27/2018 16:00:00,49.45
6/28/2018 16:00:00,48.92
6/29/2018 16:00:00,49.19
7/2/2018 16:00:00,49.49
7/3/2018 13:00:00,48.54
7/5/2018 16:00:00,49.98
7/6/2018 16:00:00,50.04
7/9/2018 16:00:00,49.51
7/10/2018 16:00:00,50.72
7/11/2018 16:00:00,49.46
7/12/2018 16:00:00,48.43
7/13/2018 16:00:00,48.58
7/16/2018 16:00:00,48.66
7/17/2018 16:00:00,49.04
7/18/2018 16:00:00,49.6
7/19/2018 16:00:00,48.48
7/20/2018 16:00:00,46.43
7/23/2018 16:00:00,46.18
7/24/2018 16:00:00,45.65
7/25/2018 16:00:00,44.51
7/26/2018 16:00:00,47.07
7/27/2018 16:00:00,48.55
7/30/2018 16:00:00,48.84
7/31/2018 16:00:00,47.63
8/1/2018 16:00:00,45.33
8/2/2018 16:00:00,45.82
8/3/2018 16:00:00,47.12
8/6/2018 16:00:00,45.75
8/7/2018 16:00:00,45.42
8/8/2018 16:00:00,45.33
8/9/2018 16:00:00,44.62
8/10/2018 16:00:00,43.07
8/13/2018 16:00:00,42.45
8/14/2018 16:00:00,42.65
8/15/2018 16:00:00,44.29
8/16/2018 16:00:00,45.02
8/17/2018 16:00:00,45.67
8/20/2018 16:00:00,45.79
8/21/2018 16:00:00,45.56
8/22/2018 16:00:00,44.91
8/23/2018 16:00:00,44.86
8/24/2018 16:00:00,45.4
8/27/2018 16:00:00,45.91
8/28/2018 16:00:00,46.42
8/29/2018 16:00:00,45.24
8/30/2018 16:00:00,42.71
8/31/2018 16:00:00,43.29
9/4/2018 16:00:00,42.37
9/5/2018 16:00:00,41.64
9/6/2018 16:00:00,40.77
9/7/2018 16:00:00,40.64
9/10/2018 16:00:00,41.27
9/11/2018 16:00:00,40.7
9/12/2018 16:00:00,40.22
9/13/2018 16:00:00,42.2
9/14/2018 16:00:00,43.06
9/17/2018 16:00:00,42.23
9/18/2018 16:00:00,41.42
9/19/2018 16:00:00,42.67
9/20/2018 16:00:00,43.52
9/21/2018 16:00:00,44.18
9/24/2018 16:00:00,43.3
9/25/2018 16:00:00,40.8
9/26/2018 16:00:00,40.34
9/27/2018 16:00:00,39.77
9/28/2018 16:00:00,39.31
10/1/2018 16:00:00,38.11
10/2/2018 16:00:00,37.62
10/3/2018 16:00:00,36.88
10/4/2018 16:00:00,35.56
10/5/2018 16:00:00,34.1
10/8/2018 16:00:00,34.42
10/9/2018 16:00:00,33.39
10/10/2018 16:00:00,31.59
10/11/2018 16:00:00,31.74
10/12/2018 16:00:00,30.18
10/15/2018 16:00:00,31.58
10/16/2018 16:00:00,31.76
10/17/2018 16:00:00,30.74
10/18/2018 16:00:00,29.72
10/19/2018 16:00:00,30.19
10/22/2018 16:00:00,30.81
10/23/2018 16:00:00,31.65
10/24/2018 16:00:00,28.52
10/25/2018 16:00:00,29.5
10/26/2018 16:00:00,29.67
10/29/2018 16:00:00,31.21
10/30/2018 16:00:00,31.38
10/31/2018 16:00:00,30.42
11/1/2018 16:00:00,32.45
11/2/2018 16:00:00,32.25
11/5/2018 16:00:00,30.17
11/6/2018 16:00:00,29.63
11/7/2018 16:00:00,29.85
11/8/2018 16:00:00,28.83
11/9/2018 16:00:00,21.52
11/12/2018 16:00:00,21.86
11/13/2018 16:00:00,24.47
11/14/2018 16:00:00,24.15
11/15/2018 16:00:00,23.66
11/16/2018 16:00:00,23.96
11/19/2018 16:00:00,24.11
11/20/2018 16:00:00,23
11/21/2018 16:00:00,24.25
11/23/2018 13:00:00,24.81
11/26/2018 16:00:00,24.99
11/27/2018 16:00:00,23.22
11/28/2018 16:00:00,23.93
11/29/2018 16:00:00,23.53
11/30/2018 16:00:00,23.68
12/3/2018 16:00:00,24.84
12/4/2018 16:00:00,23.02
12/6/2018 16:00:00,22.11
12/7/2018 16:00:00,21
12/10/2018 16:00:00,19.91
12/11/2018 16:00:00,18.96
12/12/2018 16:00:00,18.68
12/13/2018 16:00:00,18.5
12/14/2018 16:00:00,18.16
12/17/2018 16:00:00,17.76
12/18/2018 16:00:00,17.37
12/19/2018 16:00:00,17.47
12/20/2018 16:00:00,17.18
12/21/2018 16:00:00,16.38
12/24/2018 13:00:00,16.18
12/26/2018 16:00:00,16.44
12/27/2018 16:00:00,15.9
12/28/2018 16:00:00,15.64
12/31/2018 16:00:00,15.06
1/2/2019 16:00:00,15.65
1/3/2019 16:00:00,15.29
1/4/2019 16:00:00,15.18
1/7/2019 16:00:00,16.37
1/8/2019 16:00:00,17.89
1/9/2019 16:00:00,19.04
1/10/2019 16:00:00,19.24
1/11/2019 16:00:00,18.05
1/14/2019 16:00:00,18.4
1/15/2019 16:00:00,18.32
1/16/2019 16:00:00,17.39
1/17/2019 16:00:00,18.17
1/18/2019 16:00:00,19.78
1/22/2019 16:00:00,18.65
1/23/2019 16:00:00,17.86
1/24/2019 16:00:00,18.89
1/25/2019 16:00:00,19.6
1/28/2019 16:00:00,19.24
1/29/2019 16:00:00,19.23
1/30/2019 16:00:00,19.32
1/31/2019 16:00:00,19.74
2/1/2019 16:00:00,20.07
2/4/2019 16:00:00,19.72
2/5/2019 16:00:00,20.33
2/6/2019 16:00:00,21.33
2/7/2019 16:00:00,17.98
2/8/2019 16:00:00,17.81
2/11/2019 16:00:00,18.15
2/12/2019 16:00:00,19.05
2/13/2019 16:00:00,19.75
2/14/2019 16:00:00,19.49
2/15/2019 16:00:00,20.38
2/19/2019 16:00:00,20.05
2/20/2019 16:00:00,21.27
2/21/2019 16:00:00,20.33
2/22/2019 16:00:00,21.09
2/25/2019 16:00:00,21.2
2/26/2019 16:00:00,20.62
2/27/2019 16:00:00,20.07
2/28/2019 16:00:00,19.44
3/1/2019 16:00:00,19.28
3/4/2019 16:00:00,19.06
3/5/2019 16:00:00,18.47
3/6/2019 16:00:00,16.68
3/7/2019 16:00:00,15.46
3/8/2019 16:00:00,15.16
3/11/2019 16:00:00,15.17
3/12/2019 16:00:00,15.04
3/13/2019 16:00:00,14.39
3/14/2019 16:00:00,13.95
3/15/2019 16:00:00,13.97
3/18/2019 16:00:00,14.37
3/19/2019 16:00:00,14.14
3/20/2019 16:00:00,13.05
3/21/2019 16:00:00,13.47
3/22/2019 16:00:00,12.57
3/25/2019 16:00:00,12.73
3/26/2019 16:00:00,12.67
3/27/2019 16:00:00,12.89
3/28/2019 16:00:00,13.01
3/29/2019 16:00:00,12.96
4/1/2019 16:00:00,14.37
4/2/2019 16:00:00,14.49
4/3/2019 16:00:00,15.12
4/4/2019 16:00:00,16.1
4/5/2019 16:00:00,16.31
4/8/2019 16:00:00,16.81
4/9/2019 16:00:00,16.47
4/10/2019 16:00:00,18.15
4/11/2019 16:00:00,18.24
4/12/2019 16:00:00,20.73
4/15/2019 16:00:00,23.73
4/16/2019 16:00:00,24.48
4/17/2019 16:00:00,25.36
4/18/2019 16:00:00,25.91
4/22/2019 16:00:00,25.54
4/23/2019 16:00:00,24.74
4/24/2019 16:00:00,24.11
4/25/2019 16:00:00,22.47
4/26/2019 16:00:00,23.44
4/29/2019 16:00:00,24.04
4/30/2019 16:00:00,23.1
5/1/2019 16:00:00,23.02
5/2/2019 16:00:00,23.9
5/3/2019 16:00:00,24.89
5/6/2019 16:00:00,24.35
5/7/2019 16:00:00,21.97
5/8/2019 16:00:00,22.03
5/9/2019 16:00:00,21.25
5/10/2019 16:00:00,21.44
5/13/2019 16:00:00,20.51
5/14/2019 16:00:00,20.68
5/15/2019 16:00:00,20.4
5/16/2019 16:00:00,18.04
5/17/2019 16:00:00,17.97
5/20/2019 16:00:00,17.61
5/21/2019 16:00:00,17.78
5/22/2019 16:00:00,16.8
5/23/2019 16:00:00,17.15
5/24/2019 16:00:00,17.36
5/28/2019 16:00:00,18.09
5/29/2019 16:00:00,18.07
5/30/2019 16:00:00,17.91
5/31/2019 16:00:00,17.26
6/3/2019 16:00:00,17.4
6/4/2019 16:00:00,18.92
6/5/2019 16:00:00,19.39
6/6/2019 16:00:00,19.75
6/7/2019 16:00:00,20.39
6/10/2019 16:00:00,20.79
6/11/2019 16:00:00,21.72
6/12/2019 16:00:00,20.71
6/13/2019 16:00:00,21.05
6/14/2019 16:00:00,20.42
6/17/2019 16:00:00,20.8
6/18/2019 16:00:00,21.44
6/19/2019 16:00:00,21.34
6/20/2019 16:00:00,22.17
6/21/2019 16:00:00,22.18
6/24/2019 16:00:00,22.01
6/25/2019 16:00:00,22.21
6/26/2019 16:00:00,23.18
6/27/2019 16:00:00,23.85
6/28/2019 16:00:00,24.27
7/1/2019 16:00:00,24.06
7/2/2019 16:00:00,23.62
7/3/2019 13:00:00,23.77
7/5/2019 16:00:00,23.61
7/8/2019 16:00:00,23.03
7/9/2019 16:00:00,22.52
7/10/2019 16:00:00,22.78
7/11/2019 16:00:00,21.58
7/12/2019 16:00:00,22.09
7/15/2019 16:00:00,22.03
7/16/2019 16:00:00,21.93
7/17/2019 16:00:00,21.6
7/18/2019 16:00:00,21.63
7/19/2019 16:00:00,21.98
7/22/2019 16:00:00,21.71
7/23/2019 16:00:00,23.21
7/24/2019 16:00:00,24.82
7/25/2019 16:00:00,23.23
7/26/2019 16:00:00,23.64
7/29/2019 16:00:00,23.71
7/30/2019 16:00:00,23.06
7/31/2019 16:00:00,23.75
8/1/2019 16:00:00,21.31
8/2/2019 16:00:00,19.97
8/5/2019 16:00:00,19.3
8/6/2019 16:00:00,25.45
8/7/2019 16:00:00,24.36
8/8/2019 16:00:00,24.44
8/9/2019 16:00:00,24.14
8/12/2019 16:00:00,23.7
8/13/2019 16:00:00,24.18
8/14/2019 16:00:00,22.88
8/15/2019 16:00:00,21.47
8/16/2019 16:00:00,22.7
8/19/2019 16:00:00,22.79
8/20/2019 16:00:00,22.43
8/21/2019 16:00:00,23.04
8/22/2019 16:00:00,22.77
8/23/2019 16:00:00,20.92
8/26/2019 16:00:00,20.83
8/27/2019 16:00:00,19.73
8/28/2019 16:00:00,19.94
8/29/2019 16:00:00,19.99
8/30/2019 16:00:00,20.17
9/3/2019 16:00:00,18.91
9/4/2019 16:00:00,21.05
9/5/2019 16:00:00,24.38
9/6/2019 16:00:00,23.92
9/9/2019 16:00:00,25.3
9/10/2019 16:00:00,25.65
9/11/2019 16:00:00,25.9
9/12/2019 16:00:00,25.33
9/13/2019 16:00:00,25.07
9/16/2019 16:00:00,24.7
9/17/2019 16:00:00,24.21
9/18/2019 16:00:00,23.57
9/19/2019 16:00:00,23.42
9/20/2019 16:00:00,22.75
9/23/2019 16:00:00,22.86
9/24/2019 16:00:00,21.79
9/25/2019 16:00:00,22.76
9/26/2019 16:00:00,21.8
9/27/2019 16:00:00,22.95
9/30/2019 16:00:00,22.96
10/1/2019 16:00:00,22.23
10/2/2019 16:00:00,21.09
10/3/2019 16:00:00,21.09
10/4/2019 16:00:00,19.61
10/7/2019 16:00:00,19.92
10/8/2019 16:00:00,19.74
10/9/2019 16:00:00,20.38
10/10/2019 16:00:00,20.79
10/11/2019 16:00:00,23.01
10/14/2019 16:00:00,23.27
10/15/2019 16:00:00,24.05
10/16/2019 16:00:00,24.71
10/17/2019 16:00:00,24.46
10/18/2019 16:00:00,22.73
10/21/2019 16:00:00,23.09
10/22/2019 16:00:00,23.7
10/23/2019 16:00:00,22.89
10/24/2019 16:00:00,21.51
10/25/2019 16:00:00,22.67
10/28/2019 16:00:00,23.75
10/29/2019 16:00:00,23.08
10/30/2019 16:00:00,22.49
10/31/2019 16:00:00,21.19
11/1/2019 16:00:00,22.11
11/4/2019 16:00:00,23.63
11/5/2019 16:00:00,23.95
11/6/2019 16:00:00,23.5
11/7/2019 16:00:00,24.85
11/8/2019 16:00:00,24.46
11/11/2019 16:00:00,21.24
11/12/2019 16:00:00,22
11/13/2019 16:00:00,21.08
11/14/2019 16:00:00,20.36
11/15/2019 16:00:00,20.72
11/18/2019 16:00:00,20.69
11/19/2019 16:00:00,21.07
11/20/2019 16:00:00,19.84
11/21/2019 16:00:00,20.22
11/22/2019 16:00:00,21.46
11/25/2019 16:00:00,22.06
11/26/2019 16:00:00,21.89
11/27/2019 16:00:00,22.47
11/29/2019 13:00:00,21.86
12/2/2019 16:00:00,22.49
12/3/2019 16:00:00,20.58
12/4/2019 16:00:00,20.96
12/5/2019 16:00:00,21.26
12/6/2019 16:00:00,23.01
12/9/2019 16:00:00,23.69
12/10/2019 16:00:00,23.39
12/11/2019 16:00:00,23.7
12/12/2019 16:00:00,24.61
