Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-03-11 00:00:00-04:00,23.17125915540647,23.19613780523278,22.94734181613175,23.11320686340332,36627500,0.0,0.0
2013-03-12 00:00:00-04:00,23.08831766462548,23.179543563374747,22.922452681773304,23.14636993408203,39255200,0.0,0.0
2013-03-13 00:00:00-04:00,23.11320715124953,23.237605147349267,23.013687805285937,23.154672622680664,29093400,0.0,0.0
2013-03-14 00:00:00-04:00,23.22101168918703,23.35370305800934,23.162959413053002,23.337116241455078,55914800,0.0,0.0
2013-03-15 00:00:00-04:00,23.245893221505423,23.353704371560283,23.20442617778742,23.254186630249023,92710300,0.0,0.0
2013-03-18 00:00:00-04:00,23.121495604733234,23.45322565498053,23.063443320481788,23.30394744873047,44809400,0.0,0.0
2013-03-19 00:00:00-04:00,23.3205318864915,23.40346280877966,23.245892790987398,23.370290756225586,51901600,0.0,0.0
2013-03-20 00:00:00-04:00,23.502979790382344,23.627377743236984,23.370288429763292,23.486392974853516,35447800,0.0,0.0
2013-03-21 00:00:00-04:00,23.31223487854004,23.51956531586094,23.262474434682915,23.31223487854004,34233200,0.0,0.0
2013-03-22 00:00:00-04:00,23.378589659830116,23.5029876543074,23.303950546782485,23.428348541259766,28720900,0.0,0.0
2013-03-25 00:00:00-04:00,23.469810928546725,23.51127797579518,23.18784133448169,23.35370635986328,44154000,0.0,0.0
2013-03-26 00:00:00-04:00,23.420052053654693,23.50298456634549,23.31224089442094,23.35370635986328,27824300,0.0,0.0
2013-03-27 00:00:00-04:00,23.33711920519053,23.594210149013595,23.287360331014423,23.527864456176758,36047400,0.0,0.0
2013-03-28 00:00:00-04:00,23.486399766111152,23.768369384411585,23.436640886942325,23.726903915405273,55453800,0.0,0.0
2013-04-01 00:00:00-04:00,23.75178256408656,23.768369384411585,23.519573406761204,23.726903915405273,29201100,0.0,0.0
2013-04-02 00:00:00-04:00,23.710311253526605,23.92593511920953,23.652258978497713,23.88446807861328,28456500,0.0,0.0
2013-04-03 00:00:00-04:00,23.843000194007278,24.00886517590526,23.668843386639526,23.685428619384766,35062800,0.0,0.0
2013-04-04 00:00:00-04:00,23.544450418509307,23.726902265787082,23.444932667090647,23.718608856201172,45263200,0.0,0.0
